Review_ID,Customer,Review,Rating,Date
bcfdc4eb-e781-412d-925b-d4045322a49a,James Hopkins,"Great product, very useful!",3,2025-02-15
6a7353e6-c47b-4267-a463-423049e0f8bb,Shannon Brady,Excellent service and fast delivery!,2,2025-01-19
9b035591-fbe7-4180-9bf6-af9aeab6b77d,Karen Gutierrez,"Terrible quality, broke quickly.",1,2025-01-06
a869e6d7-5e5c-44ae-93bd-4f3b3d2621c5,Brett Mann,"Very disappointed, poor design.",1,2025-01-22
e782007a-dac3-4c96-b9f5-eadbf44cdbd0,Nathan Benitez,"Average, nothing special.",1,2025-01-01
590c7b26-6df1-4f27-9fff-321ca45cf258,Michael Rivas,Not worth the money.,3,2025-01-22
4ec23111-b416-40eb-890c-32d34d7145cb,Mathew Bryant,Excellent service and fast delivery!,4,2025-01-17
f9ce7cb8-1dcf-4724-908c-96ee54714c7e,Robert Taylor,"Great product, very useful!",4,2025-01-26
d09d3a06-74e5-4b31-894e-ce0dfa070d82,Emily Wiley,"Terrible quality, broke quickly.",2,2025-02-01
5b92389f-d9c3-46b2-9762-c119e0bc2b80,Dominic Singh,Highly recommend this!,5,2025-01-18
94325fad-9099-48a9-bfef-c2bbb0835d69,Brenda Chambers,"Great product, very useful!",2,2025-02-03
3efe456f-d8f5-4573-b211-eede8f5831c2,Lori King,"Very disappointed, poor design.",1,2025-01-27
adb6ad02-1176-49f6-9dc8-9f2383fdab1b,Steven Anderson,Highly recommend this!,5,2025-01-29
fc31c2f3-67fc-4f49-bf5b-f250d1bc3e51,Mark Griffin,"Average, nothing special.",4,2025-02-18
f11015ea-c5ba-4f58-870c-464629d2aac7,Joshua Evans,Highly recommend this!,5,2025-02-13
d126ae46-51cb-404b-a64b-156d5bb4e845,Peggy Smith,"Average, nothing special.",4,2025-01-29
79b9a300-2275-4c65-8fa2-a07a3a81a254,Sarah Nguyen,Highly recommend this!,3,2025-01-04
b0ba067b-bee0-4364-bcb1-54215bae0cd7,Jeffrey Foster,Not worth the money.,4,2025-02-16
d9e45e31-5915-4c81-a97c-e80226f3c2f5,Joshua Franklin,"Great product, very useful!",3,2025-02-11
d39d0c07-e958-4e90-9b5a-2e92029109c4,Kathleen Andrews,Highly recommend this!,3,2025-01-13
c1a084ff-7266-4eab-80d2-8e23c64ba5f1,Olivia Knight,"Average, nothing special.",5,2025-01-05
0a511b69-973f-4565-84c9-6c7a25b49fc2,Trevor Hughes,"Great product, very useful!",5,2025-01-31
95a253f6-cc85-488e-bf11-d4723dc3a247,Jamie Sanchez,"Terrible quality, broke quickly.",1,2025-02-07
6f26da8d-5919-4bd2-86e4-546a4c9b9544,Jacqueline Doyle,"Great product, very useful!",2,2025-01-09
70e5da5d-26db-4c77-b9ce-346071c2bcd3,Ann Smith,"Very disappointed, poor design.",3,2025-01-11
5ebb589e-0da2-42c1-abf8-47563d10b8c9,Travis Medina,Excellent service and fast delivery!,1,2025-02-09
a65cf502-54fe-4096-bd66-f17c377a7319,Dana Walker,Highly recommend this!,1,2025-02-02
3fb80a75-2654-4bdd-b142-26a3c7a864b7,Stefanie Blake,Not worth the money.,2,2025-01-15
b4bc5e5b-18ed-4523-8346-629211fdd4b3,Jessica Melendez,"Average, nothing special.",3,2025-01-28
1ed8620f-321e-4fc9-87a7-869a2c26734a,William Mills,"Very disappointed, poor design.",5,2025-01-04
37b81f2d-74d2-4948-9645-dabf42c8ecc9,Matthew Nixon,"Terrible quality, broke quickly.",1,2025-01-28
88f92edd-fa46-468f-8750-b4300842f7a1,Anthony King,"Great product, very useful!",2,2025-02-12
26afadeb-dc2d-4378-a286-7ea2582b6e33,Gina Kent,"Great product, very useful!",3,2025-01-01
cc8e59ae-74e7-4c51-9d0d-3237a09b9e07,James Cook,"Very disappointed, poor design.",2,2025-01-20
275d345e-1bb2-4345-8aaf-9d6bf767f6e5,Devin Reed,Not worth the money.,1,2025-02-09
f9039659-0a97-4280-be9a-01f62aa6be86,Amanda Mcdaniel,"Great product, very useful!",3,2025-01-09
c9498bfa-a1f1-4924-95a3-b1e4ae34762c,Matthew Rodgers,Excellent service and fast delivery!,5,2025-02-01
23340f92-8fbf-4139-99a3-4c35640f74c4,Stacy Ryan,Highly recommend this!,4,2025-01-16
d5a247ff-f929-4502-9e83-83c659f5c5cd,Shelley Thompson,"Very disappointed, poor design.",5,2025-01-27
715fcffe-32ca-4d32-bd79-3f6adabd2cf5,Cody Coleman,Not worth the money.,1,2025-01-08
246c6308-79f4-488b-a711-33282964fdf4,Rhonda Collins,Highly recommend this!,3,2025-01-23
dc44fdaa-9ae6-4b86-9286-cfcf76b62f66,Laura Kramer,Excellent service and fast delivery!,1,2025-01-12
2a9ccb01-377e-4b80-a764-e37efd40967a,Charles Garner,Not worth the money.,1,2025-01-04
0cc0b805-b571-4793-bb7f-c79902c81022,Leonard Cunningham,Not worth the money.,5,2025-01-24
9885f627-374b-4765-ba33-783310e674c3,Matthew Mcdonald Jr.,Highly recommend this!,5,2025-02-13
8bfda2ff-1e24-47b2-b33e-ce75653c2118,Joshua Petty,Not worth the money.,3,2025-02-18
14d13761-f3bf-4e64-8f22-6170cac4d66b,Johnny Payne,Not worth the money.,3,2025-01-22
d52a62ef-910b-404c-a98e-eff29d7d52e3,Elizabeth Carroll,Not worth the money.,4,2025-01-11
8ac16437-f1f0-4547-b2e5-cfe659b3ab72,Courtney Rodriguez,"Terrible quality, broke quickly.",5,2025-02-01
abff4227-9855-4f60-ab66-b3b48a136ad7,John Abbott,"Very disappointed, poor design.",2,2025-01-04
1410444f-52a9-44a8-9010-52fc37963ea0,Frederick Arellano,Not worth the money.,3,2025-01-08
06795c85-f772-4734-ad2e-0b59665db33d,Michael Peterson,"Very disappointed, poor design.",4,2025-01-26
